distance,lat,lon,alt,speed,acc,dir,rsrp,rsrq,sinr,cqi,ta,ci,payload,throughput,rtt,region,hour,weekday
2365.14,51.48940255,7.40494851,177.07,12.63,0.55,91.16,-73,-8,18,13,1,26385408,0.1,6.72271,31,campus,10,Monday
2538.27,51.48967141,7.40758291,178.26,13.41,0.84,77.75,-75,-6,14,10,1,26385408,10.0,23.5919,33,campus,10,Monday
2632.17,51.48982098,7.40888127,175.72,13.43,-0.55,78.1,-79,-6,14,15,1,26385408,0.5,8.456660000000001,32,campus,10,Monday
2794.6,51.49013381,7.4110769,167.48,12.9,-0.5,75.9,-81,-6,9,15,1,26385408,6.0,17.8771,32,campus,10,Monday
140.08,51.49058355,7.41449827,163.04,5.35,-1.84,79.13,-87,-7,25,13,7,26385408,9.0,16.4534,150,campus,9,Tuesday
186.9,51.49065835,7.41516749,161.04,5.4,0.0,82.32,-85,-6,2,10,7,26385408,10.0,16.8244,161,campus,9,Tuesday
212.39,51.49067236,7.41555381,159.68,7.48,2.08,86.5,-82,-8,11,9,2,29391105,1.0,5.43848,134,campus,9,Tuesday
300.91,51.49057961,7.41685629,157.92,1.96,-2.13,102.28,-83,-5,28,11,2,29391105,2.0,7.0922,115,campus,9,Tuesday
304.8,51.49057321,7.416875500000001,157.93,0.0,0.0,102.28,-79,-5,22,11,2,29391105,2.0,13.6752,61,campus,9,Tuesday
323.94,51.49063021,7.41722822,154.37,5.32,0.0,18.06,-77,-6,27,12,2,29391105,8.0,17.1169,117,campus,9,Tuesday
381.11,51.49115038,7.41706097,153.15,10.1,0.0,348.42,-96,-7,12,8,2,29391105,0.1,4.21054,81,campus,9,Tuesday
486.88,51.49213173,7.41654448,153.9,12.51,-0.34,335.01,-86,-5,17,11,2,29391105,0.1,5.55558,129,campus,9,Tuesday
634.57,51.49331309,7.41592441,157.47,13.43,0.0,347.45,-99,-8,10,10,2,29391105,4.0,14.7943,57,campus,9,Tuesday
770.47,51.494520200000004,7.41543702,155.21,5.87,-1.06,318.86,-90,-8,15,10,2,29391105,7.0,16.2743,44,campus,9,Tuesday
843.37,51.49444923,7.41428503,153.87,12.75,0.0,259.17,-92,-9,7,12,2,29391105,3.0,15.0,57,campus,9,Tuesday
995.56,51.4941354,7.41221356,158.39,13.62,0.0,257.95,-85,-6,11,10,3,29391104,6.0,16.0643,124,campus,9,Tuesday
1123.38,51.49384542,7.41024551,164.27,13.52,0.23,258.65,-80,-6,15,13,3,29391104,6.0,20.8605,48,campus,9,Tuesday
1274.1,51.49357057,7.40829835,165.73,13.27,0.0,257.9,-85,-10,12,10,3,29391104,5.0,12.7755,39,campus,9,Tuesday
1403.5,51.49330455,7.40632944,165.52,14.34,-0.05,257.95,-84,-6,12,14,3,29391106,2.0,6.51997,62,campus,9,Tuesday
1515.33,51.4931195,7.40481128,164.3,13.01,-0.44,257.98,-90,-8,14,11,3,29391106,0.5,8.09717,89,campus,9,Tuesday
